Identificador;Endpoint;Método;Categoria VADER;Categoria POISED;Título;Descrição;Ação;Dados;Resultado Esperado;origem_ids;Arquivo de teste;Situação
BAPI-48;/cep/v2/{cep};GET;Não coberto por VADER;P - Parameter;Pattern documentado não é aplicado;O pattern da spec rejeitaria separadores arbitrários, mas a implementação remove todo caractere não numérico antes de validar.;Executar GET com separador fora do pattern que ainda resulte em oito dígitos.;cep = 01310_930;Status abaixo de 500. Lacuna: validação real diverge do pattern publicado.;novo (POISED-P);test/cep.test.js;Verde
BAPI-49;/cnpj/v1/{cnpj};GET;V - Verbo HTTP;P - Parameter;GET documentado com CNPJ válido;Validar a consulta encaminhada à fonte Minha Receita.;Executar GET com CNPJ existente.;cnpj = 19131243000197;200 com objeto CNPJ preenchido e campo cnpj igual ao consultado.;VADER-033;test/cnpj.test.js;Verde
BAPI-50;/cnpj/v1/{cnpj};POST (não documentado);V - Verbo HTTP;E - Error;Verbo POST não documentado;Avaliar reação a verbo de escrita em consulta de dado cadastral.;Executar POST no endpoint.;cnpj = 19131243000197, corpo vazio;404 com type not_found. Lacuna: 405 não implementado nem documentado.;VADER-034;test/cnpj.test.js;Verde
BAPI-51;/cnpj/v1/{cnpj};GET;A - Autenticação e Autorização;S - Security;Consulta pública de dado cadastral e societário;O endpoint retorna quadro societário e dados de contato sem autenticação.;Executar GET sem credencial e registrar a presença de qsa, email e telefone.;cnpj = 19131243000197;200. Risco de privacidade registrado: dados societários e de contato públicos.;VADER-035;test/cnpj.test.js;Verde
BAPI-52;/cnpj/v1/{cnpj};GET;D - Dados;P - Parameter;Aderência ao pattern com e sem formatação;O pattern aceita 14 dígitos ou o formato pontuado, que contém barra e portanto depende do roteamento preservar %2F.;Executar GET nas duas formas.;"cnpj = 19131243000197; cnpj = 19.131.243/0001-97";Forma sem formatação com 200. Forma pontuada sem erro interno. Lacuna: pattern documentado pode não ser roteável.;VADER-036;test/cnpj.test.js;Verde
BAPI-53;/cnpj/v1/{cnpj};GET;D - Dados;P - Parameter;CNPJ com dígito verificador inválido;"A BrasilAPI não valida o dígito verificador; a regra é aplicada pela fonte externa.";Executar GET com CNPJ de formato válido e dígito verificador incorreto.;cnpj = 19131243000100;400 ou 404. Lacuna: validação de dígito verificador não documentada e delegada à fonte.;VADER-037;test/cnpj.test.js;Verde
BAPI-54;/cnpj/v1/{cnpj};GET;E - Erros e Exceções;E - Error;CNPJ inexistente na base;Cenário documentado de não encontrado.;Testar os candidatos da massa até um deles devolver 404.;candidatosInexistentes da massa;404 com type not_found e corpo aderente a ErrorMessage. Lacuna: o CNPJ 00.000.000/0001-91, usado como exemplo de 404 na própria documentação, é o CNPJ real do Banco do Brasil e devolve 200.;VADER-038;test/cnpj.test.js;Verde
BAPI-55;/cnpj/v1/{cnpj};GET;E - Erros e Exceções;D - Data;Dependência da fonte externa;A consulta depende da API Minha Receita, que pode falhar ou expirar.;Executar GET medindo o tempo de resposta.;cnpj = 19131243000197;Status abaixo de 500 e tempo dentro do limite acordado. Lacuna: 500 e timeout não documentados.;VADER-039;test/cnpj.test.js;Verde
BAPI-56;/cnpj/v1/{cnpj};GET;R - Respostas;O - Output;Schema CNPJ sem campos obrigatórios;O schema declara 48 propriedades e nenhuma lista de required, o que torna o contrato inútil para o consumidor.;Executar GET e validar o mínimo acordado com o time.;cnpj = 19131243000197;Campos cnpj, razao_social e situacao_cadastral presentes. Lacuna de contrato registrada.;VADER-040;test/cnpj.test.js;Verde
BAPI-57;/cnpj/v1/{cnpj};GET;R - Respostas;E - Error;Mensagem de erro 400 inconsistente na documentação;O exemplo do 400 na spec informa que o CNPJ deve conter exatamente 11 dígitos, quando o correto são 14.;Executar GET com CNPJ mal formatado e registrar a mensagem devolvida.;cnpj = 123;400 com type bad_request e mensagem não vazia. Defeito de documentação registrado.;VADER-041;test/cnpj.test.js;Verde
BAPI-58;/cnpj/v1/{cnpj};GET;Não coberto por VADER;S - Security;Parâmetro repassado sem sanitização à fonte externa;O handler concatena o parâmetro direto na URL de minhareceita.org, sem validação local.;Executar GET com cada payload codificado e inspecionar corpo e texto bruto.;"1' OR '1'='1; ../../etc/passwd; <script>alert(1)</script>; %00";Status abaixo de 500 e nenhum vazamento do host, da URL da dependência ou de stack.;novo (POISED-S);test/cnpj.test.js;Verde
BAPI-59;/cnpj/v1/{cnpj};GET;Não coberto por VADER;I - Interoperability;CORS aberto na consulta de CNPJ;Verificar se a política de CORS do recurso acompanha o padrão da API.;Executar GET enviando Origin.;Origin: https://exemplo-consumidor.com.br;Access-Control-Allow-Origin igual a *.;novo (POISED-I);test/cnpj.test.js;Verde
BAPI-60;/cnpj/v1/{cnpj};GET;Não coberto por VADER;O - Output;Informação relevante e sem normalização silenciosa;A resposta precisa corresponder ao CNPJ consultado e trazer a razão social preenchida.;Executar GET e comparar o campo cnpj com o valor consultado.;cnpj = 19131243000197;Campo cnpj idêntico ao consultado e razao_social não vazia.;novo (POISED-O);test/cnpj.test.js;Verde
BAPI-61;/cnpj/v1/{cnpj};GET;Não coberto por VADER;D - Data;Cache do dado cadastral divergente do declarado no código;O código-fonte aplica o cache padrão de 86400s a este recurso, mas a resposta observada chega com private e no-store, ou seja, sem cache algum.;Executar GET e inspecionar Cache-Control e a presença de campo de data.;cnpj = 19131243000197;Cache-Control presente na resposta. Lacuna: comportamento observado diverge do código-fonte e nenhum dos dois consta na documentação.;novo (POISED-D);test/cnpj.test.js;Verde
BAPI-62;/pix/v1/participants;GET;V - Verbo HTTP;O - Output;GET documentado retorna participantes do PIX;Validar a listagem de participantes obtida do Banco Central.;Executar GET no endpoint.;Nenhum;200 com array não vazio de PIX_PARTICIPANTES.;VADER-042;test/pix.test.js;Verde
BAPI-63;/pix/v1/participants;PATCH (não documentado);V - Verbo HTTP;E - Error;Verbo PATCH não documentado;Avaliar reação a verbo de atualização parcial em endpoint de listagem.;Executar PATCH no endpoint.;Corpo vazio;404 com type not_found. Lacuna: 405 não implementado nem documentado.;VADER-043;test/pix.test.js;Verde
BAPI-64;/pix/v1/participants;GET;A - Autenticação e Autorização;S - Security;Listagem pública de instituições financeiras;Endpoint público que espelha dado do Banco Central.;Executar GET sem credencial.;Nenhum;200. Risco registrado: ausência de rate limit documentado para consumo em massa.;VADER-044;test/pix.test.js;Verde
BAPI-65;/pix/v1/participants;GET;D - Dados;P - Parameter;Parâmetros não documentados na listagem;O endpoint não declara filtro, paginação nem ordenação.;Executar GET com query string arbitrária e comparar com a chamada limpa.;?ispb=00000000&limit=10;200 com a lista completa, parâmetros ignorados. Lacuna: ausência de paginação para lista extensa.;VADER-045;test/pix.test.js;Verde
BAPI-66;/pix/v1/participants;GET;E - Erros e Exceções;E - Error;Falha na obtenção dos dados do BCB;Cenário documentado de erro na dependência externa.;Executar GET e, se o status for 500, validar o corpo contra ErrorMessage.;Nenhum;200 no caminho feliz, ou 500 com name PIX_LIST_ERROR e corpo aderente a ErrorMessage.;VADER-046;test/pix.test.js;Verde
BAPI-67;/pix/v1/participants;GET;R - Respostas;O - Output;Campo inicio_operacao exigido pelo schema e sempre nulo;O schema exige inicio_operacao, mas a implementação atribui null a todos os participantes desde novembro de 2025.;Executar GET e contar itens sem inicio_operacao.;Resposta completa;100% dos itens com inicio_operacao nulo. Divergência de contrato confirmada e fixada pelo teste.;VADER-047;test/pix.test.js;Verde: fixa defeito conhecido, falha se a API for corrigida
BAPI-68;/pix/v1/participants;GET;R - Respostas;O - Output;Contrato do schema PIX_PARTICIPANTES;O schema exige ispb, nome, nome_reduzido, modalidade_participacao e tipo_participacao.;Executar GET e validar cada item do array com Ajv.;Resposta completa;Todos os itens aderentes ao schema, ressalvado o campo inicio_operacao tratado no BAPI-67. DEFEITO CONFIRMADO: a lista traz itens sem os campos obrigatórios, porque services/pix/participants.js filtra as linhas do CSV pela coluna 0 enquanto o ISPB está na coluna 2.;VADER-048;test/pix.test.js;Vermelho: defeito confirmado da API
BAPI-69;/pix/v1/participants;GET;Não coberto por VADER;I - Interoperability;ISPB do PIX incompatível com o ISPB de /banks/v1;"O endpoint de bancos entrega o ISPB com oito dígitos; o de PIX entrega o valor cru da planilha do BCB, sem zero à esquerda. Cruzar as duas listas por ISPB não encontra correspondência.";Executar GET nos dois endpoints e comparar o formato do campo ispb.;Resposta completa dos dois recursos;Divergência confirmada e fixada pelo teste. Defeito de interoperabilidade entre recursos da mesma API.;novo (POISED-I);test/pix.test.js;Verde: fixa defeito conhecido, falha se a API for corrigida
BAPI-70;/pix/v1/participants;GET;Não coberto por VADER;D - Data;Campos nome e nome_reduzido com o mesmo valor;A implementação lê os dois campos da mesma coluna do CSV do BCB, embora o schema os documente como distintos.;Executar GET e calcular o percentual de itens com nome igual a nome_reduzido.;Resposta completa;100% dos itens com valores iguais. Defeito de qualidade de dado confirmado e fixado pelo teste.;novo (POISED-D);test/pix.test.js;Verde: fixa defeito conhecido, falha se a API for corrigida
BAPI-71;/pix/v1/participants;GET;Não coberto por VADER;D - Data;Integridade da codificação dos nomes;A origem é um CSV do BCB decodificado como latin1 quando o content-type não declara charset.;Executar GET e procurar marcadores de codificação quebrada nos nomes.;Resposta completa;Nenhum caractere de substituição nem sequência de mojibake na lista.;novo (POISED-D);test/pix.test.js;Verde
BAPI-72;/pix/v1/participants;GET;Não coberto por VADER;D - Data;Ausência de ISPB duplicado;Duplicidade indicaria falha no parse do CSV ou dado inconsistente na fonte.;Executar GET e contar ocorrências repetidas do campo ispb.;Resposta completa;Nenhum ISPB repetido na lista. DEFEITO CONFIRMADO: as linhas sem ISPB colidem entre si com a chave vazia e há ainda um ISPB legítimo repetido. Mesma causa raiz do BAPI-68.;novo (POISED-D);test/pix.test.js;Vermelho: defeito confirmado da API
BAPI-73;/pix/v1/participants;GET;Não coberto por VADER;D - Data;Domínio de modalidade e tipo de participação;O schema declara os dois campos como string livre, sem enum, o que permite mudança silenciosa da planilha do BCB.;Executar GET e registrar o conjunto distinto de valores observados.;Resposta completa;Nenhum valor vazio nos dois campos. DEFEITO CONFIRMADO: há itens com tipo_participacao vazio e o domínio observado mudou para Direta e Indireta, enquanto o exemplo da spec mostra DRCT.;novo (POISED-D);test/pix.test.js;Vermelho: defeito confirmado da API
BAPI-74;/pix/v1/participants;GET;Não coberto por VADER;I - Interoperability;CORS aberto na listagem do PIX;Verificar se a política de CORS do recurso acompanha o padrão da API.;Executar GET enviando Origin.;Origin: https://exemplo-consumidor.com.br;Access-Control-Allow-Origin igual a *.;novo (POISED-I);test/pix.test.js;Verde
BAPI-75;/pix/v1/participants;GET;Não coberto por VADER;D - Data;Escalabilidade da lista completa sem paginação;A lista inteira trafega a cada chamada, com cache de 21600s e sem paginação.;Disparar 10 requisições em paralelo, medir o tempo médio e o tamanho do payload.;10 chamadas simultâneas;Todas com 200 e tempo médio abaixo do limite acordado. Tamanho do payload registrado. Lacuna: ausência de paginação.;novo (POISED-D);test/pix.test.js;Verde
