Identificador;Categoria VADER;Endpoint;Método;Título;Descrição;Ação;Dados;Resultado Esperado
VADER-011;A - Autenticação e Autorização;/banks/v1/{code};GET;Consulta unitária sem credencial;Confirmar que a consulta individual também é pública, como o restante da API.;Executar GET sem header Authorization.;code = 1;200. Registrar risco: nenhum controle de acesso ou rate limit documentado.
VADER-012;D - Dados;/banks/v1/{code};GET;Código com tipo divergente do declarado;O parâmetro code é declarado como integer, sem mínimo, máximo ou pattern.;Executar GET informando valor não numérico.;code = abc;Rejeitar preferencialmente com 400. Lacuna: apenas 200 e 404 documentados.
VADER-013;D - Dados;/banks/v1/{code};GET;Valores de borda para o código;Ausência de limites documentados exige exploração das bordas.;Executar GET para cada valor de borda.;"code = 0; code = -1; code = 999999999";Resposta consistente entre as bordas, sem erro não tratado. Lacuna: limites não documentados.
VADER-014;E - Erros e Exceções;/banks/v1/{code};GET;Código de banco inexistente;Cenário de recurso não encontrado, explicitamente documentado.;Executar GET com código válido em formato porém inexistente.;code = 999999;404 com corpo aderente ao schema ErrorMessage.
VADER-015;E - Erros e Exceções;/banks/v1/{code};GET;Caracteres especiais e encoding no path;Verificar tratamento de entrada potencialmente perigosa no parâmetro de path.;Executar GET com valor codificado na URL.;"code = %20; code = ../";Erro tratado sem stack trace nem vazamento de informação interna.
VADER-016;R - Respostas;/banks/v1/{code};GET;Divergência entre exemplo e schema do 404;O schema ErrorMessage exige message, name e type, mas o exemplo do 404 traz apenas message e type.;Executar GET com código inexistente e comparar o corpo ao schema.;code = 999999;Conflito de contrato confirmado se o campo name estiver ausente. Registrar como defeito de documentação.
VADER-017;V - Verbo HTTP;/cep/v1/{cep};GET;GET documentado com CEP válido;Validar a busca de CEP com fallback entre providers.;Executar GET com CEP existente.;cep = 01310930;200 com objeto Address preenchido.
VADER-018;V - Verbo HTTP;/cep/v1/{cep};PUT (não documentado);Verbo PUT não documentado;Avaliar reação a verbo de atualização em endpoint de consulta.;Executar PUT no endpoint.;cep = 01310930, corpo vazio;Rejeitar preferencialmente com 405. Lacuna: 405 não documentado.
VADER-019;A - Autenticação e Autorização;/cep/v1/{cep};GET;Consulta pública de dado de endereço;Endpoint público que expõe dado de localização sem qualquer controle.;Executar GET sem credencial e repetir a chamada em volume.;cep = 01310930;200. Registrar risco: ausência de rate limit documentado para consulta em massa.
VADER-020;D - Dados;/cep/v1/{cep};GET;CEP com zero à esquerda;O parâmetro é declarado como integer int64, tipo que não preserva zero à esquerda.;Executar GET com CEP iniciado em zero.;cep = 01001000;200 com o CEP correto. Risco alto de divergência por causa do tipo declarado.
VADER-021;D - Dados;/cep/v1/{cep};GET;CEP formatado com hífen;A v1 declara integer, o que teoricamente não aceita formatação.;Executar GET com CEP formatado.;cep = 01001-000;Comportamento a observar. Lacuna: formatação não prevista pelo tipo declarado na v1.
VADER-022;E - Erros e Exceções;/cep/v1/{cep};GET;CEP inexistente em todos os providers;Cenário documentado de falha de todos os provedores de consulta.;Executar GET com CEP válido em formato porém inexistente.;cep = 99999999;404 com schema CepError, incluindo o array errors com o retorno de cada provider.
VADER-023;E - Erros e Exceções;/cep/v1/{cep};GET;CEP com quantidade incorreta de dígitos;A v1 não declara pattern nem tamanho, diferente da v2.;Executar GET com CEP curto e com CEP longo.;"cep = 123; cep = 123456789012";Rejeitar preferencialmente com 400. Lacuna: 400 não documentado na v1.
VADER-024;R - Respostas;/cep/v1/{cep};GET;Contrato do schema Address;Address exige cep, state, city, neighborhood, street e service.;Executar GET com CEP válido e validar o corpo campo a campo.;cep = 01310930;Todos os seis campos obrigatórios presentes, com o campo service indicando o provider utilizado.
VADER-025;V - Verbo HTTP;/cep/v2/{cep};GET;GET documentado com geolocalização;Validar a versão 2, que agrega latitude e longitude ao endereço.;Executar GET com CEP existente.;cep = 01310930;200 com objeto AddressV2 contendo location.
VADER-026;V - Verbo HTTP;/cep/v2/{cep};POST (não documentado);Verbo POST não documentado;Avaliar reação a verbo de escrita na v2.;Executar POST no endpoint.;cep = 01310930, corpo vazio;Rejeitar preferencialmente com 405. Lacuna: 405 não documentado.
VADER-027;A - Autenticação e Autorização;/cep/v2/{cep};GET;Exposição pública de geolocalização;A v2 devolve coordenadas geográficas sem qualquer autenticação.;Executar GET sem credencial.;cep = 01310930;200. Registrar risco: dado de geolocalização exposto sem controle de acesso.
VADER-028;D - Dados;/cep/v2/{cep};GET;Aderência ao pattern documentado;O pattern aceita oito dígitos ou o formato com hífen.;Executar GET nas duas formas aceitas e comparar os corpos.;"cep = 01310930; cep = 01310-930";200 nos dois casos, com corpos equivalentes.
VADER-029;D - Dados;/cep/v2/{cep};GET;Violação do pattern documentado;Entradas fora do pattern devem ser barradas na validação.;Executar GET com valores inválidos.;"cep = 1234567; cep = abcdefgh; cep = 01310_930";400 com schema ErrorMessage e type validation_error.
VADER-030;E - Erros e Exceções;/cep/v2/{cep};GET;CEP inexistente em todos os provedores;Cenário documentado de não encontrado após fallback.;Executar GET com CEP inexistente.;cep = 99999999;404 com ErrorMessage e type service_error.
VADER-031;E - Erros e Exceções;/cep/v2/{cep};GET;Divergência de resultado entre v1 e v2;As duas versões usam cadeias de providers distintas para o mesmo dado.;Executar GET em /cep/v1 e /cep/v2 para o mesmo CEP e comparar os campos comuns.;cep = 01310930;Campos cep, state, city, neighborhood e street idênticos. Divergência indica inconsistência entre versões.
VADER-032;R - Respostas;/cep/v2/{cep};GET;Contrato de AddressV2 e do objeto location;AddressV2 exige timezoneName e location, e Coordinates exige latitude e longitude.;Executar GET e validar a estrutura aninhada.;cep = 01310930;location presente com type e coordinates, e coordinates com latitude e longitude não nulos.
VADER-033;V - Verbo HTTP;/cnpj/v1/{cnpj};GET;GET documentado com CNPJ válido;Validar a consulta na fonte Minha Receita.;Executar GET com CNPJ existente.;cnpj = 19131243000197;200 com objeto CNPJ preenchido.
VADER-034;V - Verbo HTTP;/cnpj/v1/{cnpj};POST (não documentado);Verbo POST não documentado;Avaliar reação a verbo de escrita em consulta de dado cadastral.;Executar POST no endpoint.;cnpj = 19131243000197, corpo vazio;Rejeitar preferencialmente com 405. Lacuna: 405 não documentado.
VADER-035;A - Autenticação e Autorização;/cnpj/v1/{cnpj};GET;Consulta pública de dado cadastral e societário;O endpoint retorna quadro societário e dados de contato sem autenticação.;Executar GET sem credencial e verificar os campos retornados.;cnpj = 19131243000197;200. Registrar risco de privacidade: campos qsa, email e telefones expostos sem controle de acesso.
VADER-036;D - Dados;/cnpj/v1/{cnpj};GET;Aderência ao pattern com e sem formatação;O pattern aceita 14 dígitos ou o formato pontuado.;Executar GET nas duas formas.;"cnpj = 19131243000197; cnpj = 19.131.243/0001-97";200 nos dois casos, com corpos equivalentes.
VADER-037;D - Dados;/cnpj/v1/{cnpj};GET;CNPJ com dígito verificador inválido;O pattern valida apenas o formato, não a regra de cálculo do dígito verificador.;Executar GET com CNPJ de formato válido e dígito verificador incorreto.;cnpj = 19131243000100;Rejeitar preferencialmente com 400. Lacuna: validação de dígito verificador não documentada.
VADER-038;E - Erros e Exceções;/cnpj/v1/{cnpj};GET;CNPJ inexistente na base;Cenário documentado de não encontrado.;Executar GET com CNPJ válido em formato porém inexistente.;cnpj = 00000000000191;404 com ErrorMessage e type not_found.
VADER-039;E - Erros e Exceções;/cnpj/v1/{cnpj};GET;Indisponibilidade da fonte externa;A consulta depende da API Minha Receita, que pode falhar ou expirar.;Executar GET repetidamente e monitorar tempo de resposta e falhas intermitentes.;cnpj = 19131243000197;Erro tratado e sinalizado ao consumidor. Lacuna: 500 e timeout não documentados.
VADER-040;R - Respostas;/cnpj/v1/{cnpj};GET;Schema CNPJ sem campos obrigatórios;O schema declara 48 propriedades e nenhuma lista de required.;Executar GET e verificar quais campos vêm sempre preenchidos.;cnpj = 19131243000197;Registrar como lacuna de contrato. Sem required, nenhum campo pode ser assumido pelo consumidor.
VADER-041;R - Respostas;/cnpj/v1/{cnpj};GET;Mensagem de erro 400 inconsistente;O exemplo do 400 informa que o CNPJ deve conter exatamente 11 dígitos, quando o correto são 14.;Executar GET com CNPJ inválido e comparar a mensagem retornada ao exemplo da spec.;cnpj = 123;Defeito de documentação confirmado. Verificar se a API replica a mensagem incorreta.
VADER-042;V - Verbo HTTP;/pix/v1/participants;GET;GET documentado retorna participantes do PIX;Validar a listagem de participantes obtida do Banco Central.;Executar GET no endpoint.;Nenhum;200 com array de PIX_PARTICIPANTES.
VADER-043;V - Verbo HTTP;/pix/v1/participants;PATCH (não documentado);Verbo PATCH não documentado;Avaliar reação a verbo de atualização parcial em endpoint de listagem.;Executar PATCH no endpoint.;Corpo vazio;Rejeitar preferencialmente com 405. Lacuna: 405 não documentado.
VADER-044;A - Autenticação e Autorização;/pix/v1/participants;GET;Listagem pública de instituições financeiras;Endpoint público que espelha dado do Banco Central.;Executar GET sem credencial.;Nenhum;200. Registrar risco: ausência de rate limit documentado para consumo em massa.
VADER-045;D - Dados;/pix/v1/participants;GET;Parâmetros não documentados na listagem;O endpoint não declara filtro, paginação nem ordenação.;Executar GET com query string arbitrária.;?ispb=00000000&limit=10;200 com a lista completa, parâmetros ignorados. Lacuna: ausência de paginação para lista extensa.
VADER-046;E - Erros e Exceções;/pix/v1/participants;GET;Falha na obtenção dos dados do BCB;Cenário documentado de erro na dependência externa.;Monitorar execuções sucessivas e capturar a ocorrência de falha da fonte.;Nenhum;500 com message, type internal e name PIX_LIST_ERROR.
VADER-047;R - Respostas;/pix/v1/participants;GET;Conflito entre schema e descrição no campo inicio_operacao;O schema exige inicio_operacao, mas a descrição informa que o BCB deixou de fornecer o dado desde novembro de 2025.;Executar GET e contar itens com inicio_operacao ausente ou vazio.;Resposta completa;Conflito de contrato confirmado se houver itens sem o campo. Registrar como defeito de documentação.
VADER-048;R - Respostas;/pix/v1/participants;GET;Contrato do schema PIX_PARTICIPANTES;O schema exige ispb, nome, nome_reduzido, modalidade_participacao e tipo_participacao.;Executar GET e validar cada item do array.;Resposta completa;Array não vazio e todos os itens com os campos obrigatórios, com ispb no formato de oito dígitos.
